cat_id,order,text,alternative_text,url,parent_id,recs,recs_oak,show
5597,2,Employment Discrimination Assistance,,,5324,,,checked
5598,2,Housing Discrimination Assistance,,,5324,,,checked
5599,2,Family Law,,,5324,,,checked
5600,2,General Legal Aid,,,5324,,,checked
5601,2,Immigration/Naturalization Legal Services,,,5324,,,checked
5602,2,Landlord/Tenant Dispute Resolution,,,5324,,,checked
5603,2,Landlord Rights Information/Counseling,,,5324,,,checked
5604,2,Tenant Rights/Information/Counseling,,,5324,,,checked
5605,2,Lawyer Referral Services,,,5324,,,checked
5606,2,Patient Rights Assistance,,,5324,,,checked
5607,2,Probate Assistance,,,5324,,,checked
5608,2,Comprehensive Job Assistance Centers,,,5325,,,
5609,2,Employment Preparation,,,5325,,,
5610,2,Job Finding Assistance,,,5325,,,
5611,2,Vocational Rehabilitation,,,5325,,,
5612,2,Rent Payment Assistance,,,5326,,,checked
5613,2,Senior Ride Programs,,,5326,,,
5614,2,Student Financial Aid,,,5326,,,
5615,2,In Home Supportive Services Subsidies,,,5326,,,
5616,2,Medically Indigent Adult Programs,,,5326,,,
5617,2,Medicare,,,5326,,,
5618,2,Supplemental Nutrition Assistance Program,,,5326,,,
5619,2,WIC,,,5326,,,
5620,2,Mortuary Services,,,5326,,,
5621,2,Veteran Home Loans,,,5328,,,
5622,2,Veteran Benefits Assistance,,,5328,,,
5623,2,Veteran Outpatient Health Facilities,,,5328,,,
5624,2,Veteran Burial Benefits,,,5328,,,
5625,2,Insurance Claims Assistance for Veterans,,,5328,,,
5626,2,Veteran Reintegration Counseling,,,5328,,,
5627,2,Military Family Service/Support Centers,,,5328,,,
5628,2,Families of Military Personnel/Veterans,,,5328,,,
5629,2,Active Military,,,5328,,,
5630,2,Veteran Employment Programs,,,5328,,,
5631,2,Homeless Veterans,,,5328,,,
5621,2,Veteran Home Loans,,,5328,,,
5622,2,Veteran Benefits Assistance,,,5328,,,
5623,2,Veteran Outpatient Health Facilities,,,5328,,,
5624,2,Veteran Burial Benefits,,,5328,,,
5625,2,Insurance Claims Assistance for Veterans,,,5328,,,
5626,2,Veteran Reintegration Counseling,,,5328,,,
5627,2,Military Family Service/Support Centers,,,5328,,,
5628,2,Families of Military Personnel/Veterans,,,5328,,,
5629,2,Active Military,,,5328,,,
5630,2,Veteran Employment Programs,,,5328,,,
5631,2,Homeless Veterans,,,5328,,,checked
5632,2,After School Meal Programs,,,5329,,,checked
5633,2,Summer Food Service Programs,,,5329,,,checked
5634,2,Runaway/Youth Shelters,,,5329,,,checked
5635,2,Runaway Help,,,5329,,,checked
5636,2,Clothing,,,5329,,,
5637,2,Child Care Complaints,,,5329,,,
5638,2,Child Care,,,5329,,,
5639,2,Children's,,,5329,,,
5640,2,Anti Bullying Programs,,,5329,,,
5641,2,Child Abuse Prevention,,,5329,,,
5642,2,Child Sexual Assault Prevention,,,5329,,,
5643,2,Advance Medical Directives,,,5329,,,
5644,2,Child Custody/Visitation Assistance,,,5329,,,
5645,2,Child Support Assistance/Enforcement,,,5329,,,
5646,2,Preschools,,,5329,,,
5647,2,Migrant Education Programs,,,5329,,,
5648,2,Special Education and Assessment,,,5329,,,
5649,2,Home Safety Evaluations,,,5329,,,
5650,2,Childbirth Education,,,5329,,,
5651,2,Birth Control,,,5329,,,
5652,2,Abortion Services,,,5329,,,
5653,2,Prenatal Care,,,5329,,,
5654,2,Reproductive Health Education,,,5329,,,
5655,2,Early Intervention for Children With Disabilties/D...,,,5329,,,
5656,2,Childhood Immunizations,,,5329,,,
5657,2,Pediatric Dental Services,,,5329,,,
5658,2,Pediatrics,,,5329,,,
5659,2,WIC,,,5329,,,
5660,2,Leisure Activities,,,5329,,,
5661,2,Sexual Assualt/Incest Support Groups,,,5329,,,
5662,2,Bereaved Child and Parent Support Groups,,,5329,,,
5663,2,Adoption and Foster/Kinship Support Groups,,,5329,,,
5664,2,Youth Development,,,5329,,,
5665,2,Child Guidance,,,5329,,,
5666,2,Youth Issues Lines,,,5329,,,
5667,2,Youth Development and Youth Centers,,,5329,,,
5668,2,Pregnant Women,,,5329,,,
5669,2,Single Parent Families,,,5329,,,
5670,2,Juvenile Detention Facilities,,,5329,,,
5671,2,Abused Children,,,5329,,,
6003,2,Home Safety Evaluations and Accessibility Improvem...,,,5506,,,
6004,2,Independent Living Skills Instruction,,,5506,,,
5331,2,Resources for People Living with HIV,,http://edenir.org/ahip-resources/,5330,,,
5332,2,Transportation Resources Portal,,http://transportation.211alamedacounty.org,5330,,,
5334,2,Reentry Resources Portal,,http://reentry.211alamedacounty.org,5330,,,
5336,2,Alameda County Housing Choices,,http://achousingchoices.org,5330,,,
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,
6,,,,,,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,,,,,,
13,,,,,,,,
14,,,,,,,,
15,,,,,,,,
