key,id,name,postal_code,address,city,organization_id,organization_name,client_id,latitude,longitude,status,description,phone_number,website,culture_code,state_province,alternate_name,coordinates__001,coordinates__002,coordinates__003,coordinates__004,coordinates__005,coordinates__006,resource_type,category,parent_id (from Category),last_scraped,Field 29
54859494en,54859494,CityServe Support Services,,,,54859431,CITYSERVE OF THE TRI-VALLEY,2376,,,ACTIVE,"Coordinates resources, including motel vouchers wh...",925-223-6947,www.cityservetrivalley.org,en,,,"37.69903, -121.944",,,,,,Program,5550,5320,2020-06-29 01:23:00,
67407427en,67407427,COVID Isolation Housing,,,,67406553,CORONAVIRUS INFORMATION (COVID),2376,,,ACTIVE,"<span style=""color:#FF0000"">NOTE: </span> <span style=""color:#FF0000""><span style=""background-color:transparent; font-family:arial; font-size:11pt"">Ad...",Online Resource,http://www.acphd.org/2019-ncov/operation-comfort.a...,en,,,"37.76931, -122.25989",,,,,,Program,5550,5320,2020-06-29 01:23:00,
38904844en,38904844,Crossroads Emergency Shelter,,,,38898589,EAST OAKLAND COMMUNITY PROJECT - EOCP,2376,37.755967,-122.188088,ACTIVE,"<span style=""color:#FF0000"">Note: Not doing walk i...",510-532-3211,www.eocp.net/what-we-do/crossroads/,en,,,"37.755967, -122.188088",,,,,,Program,5550,5320,2020-06-29 01:23:00,
38904901en,38904901,Emergency Shelter,,,,38898896,SECOND CHANCE INC,2376,37.538034,-122.03053,ACTIVE,"<span style=""color:#FF0000"">Note: Office is open t...",510-792-4357,www.secondchanceinc.com,en,,,"37.633771, -122.061914","37.538034, -122.03053",,,,,Program,5550,5320,2020-06-29 01:23:00,
38904933en,38904933,FESCO Family Emergency Shelter,,,,38898608,FAMILY EMERGENCY SHELTER COALITION (FESCO),2376,37.674815,-122.081533,ACTIVE,"<span style=""color:#FF0000"">Note: FESCO is open an...",510-581-3223,www.fescofamilyshelter.org,en,,,"37.674815, -122.081533",,,,,,Program,5550,5320,2020-06-29 01:23:00,
53369289en,53369289,First Presbyterian Church of Hayward Winter Shelte...,,,,53369287,FIRST PRESBYTERIAN CHURCH,2376,,,ACTIVE,"<span style=""color:#FF0000"">NOTE: At FPCH the shel...",510-581-6203,www.firstpreshayward.com/,en,,FirstPres Warming Shelter,"37.68574, -122.07236",,,,,,Program,5550,5320,2020-06-29 01:23:00,
43907018en,43907018,Fremont Winter Shelter,,,,38898617,CITY OF FREMONT HUMAN SERVICES DEPARTMENT,2376,,,ACTIVE,<strong>Fremont Winter shelter is now closed.<br />...,510-574-2222,https://fremont.gov/2864/Warming-Center,en,,,"37.526811, -121.964908","37.5518, -121.97783",,,,,Program,5550,5320,2020-06-29 01:23:00,
38904675en,38904675,Garden Street Center Oakland - Emergency Shelter f...,,,,38898904,SALVATION ARMY - ALAMEDA COUNTY,2376,,,ACTIVE,"<span style=""font-size:12px""><span style=""color:#F>""...",510-437-9437,http://oaklandgarden.salvationarmy.org/,en,,,"37.778403, -122.216989",,,,,,Program,5550,5320,2020-06-29 01:23:00,
38903726en,38903726,Immigrant Sanctuary House,,,,38898719,OAKLAND CATHOLIC WORKER,2376,37.778403,-122.216989,ACTIVE,"<span style=""color:#FF0000""><span style=""font-fami>""...",510-533-7375,http://www.oaklandcatholicworker.org/,en,,,"37.778403, -122.216989",,,,,,Program,5550,5320,2020-06-29 01:23:00,
65783233en,65783233,Livermore Safe Overnight Parking Program,,,,54859431,CITYSERVE OF THE TRI-VALLEY,2376,,,ACTIVE,"<span style=""color:#FF0000"">NOTE: Service still in...",925-223-6947,https://cityservetrivalley.org/,en,,,"37.67757, -121.74653",,,,,,Program,5550,5320,2020-06-29 01:23:00,
38904851en,38904851,Men's Housing Program (MHP),,,,38898916,BERKELEY FOOD AND HOUSING PROJECT (BFHP),2376,,,ACTIVE,"Provides safe, clean short-term residential housin...",866-960-2132,www.bfhp.org,en,,,"37.867417, -122.259661",,,,,,Program,5550,5320,2020-06-29 01:23:00,
38906995en,38906995,North County Shelter - St. Vincent de Paul Society,,,,38898786,SOCIETY OF ST. VINCENT DE PAUL OF ALAMEDA COUNTY,2376,37.81018,-122.269073,ACTIVE,"<span style=""color:#FF0000"">Note: Must use hand sa...",510-638-7600,,en,,,"37.81018, -122.269073",,,,,,Program,5550,5320,2020-06-29 01:23:00,
38906333en,38906333,North County Winter Shelter Referral Program (OPEN...,,,,38898870,OPERATION DIGNITY INC,2376,37.806984,-122.286229,ACTIVE,"<span style=""color:#FF0000"">Note: Outreach teams a...",510-882-7941,,en,,,"37.78912, -122.22827","37.806984, -122.286229",,,,,Program,5550,5320,2020-06-29 01:23:00,
55013850en,55013850,One night emergency shelter bed,,,,38898916,BERKELEY FOOD AND HOUSING PROJECT (BFHP),2376,,,ACTIVE,"<span style=""color:#FF0000"">Coronavirus Update: Du...",510-290-5705,,en,,,"37.867417, -122.259661",,,,,,Program,5550,5320,2020-06-29 01:23:00,
38904860en,38904860,Rescue Mission-Men's Shelter,,,,38898840,CITYTEAM MINISTRIES,2376,37.806984,-122.286229,ACTIVE,"<span style=""color:#FF0000"">NOTE:&nbsp;Cityteam Mi...",510-452-3758,www.cityteam.org/oakland/,en,,,"37.806984, -122.286229",,,,,,Program,5550,5320,2020-06-29 01:23:00,
38906768en,38906768,Short-term Emergency Shelter - Homeless Single Wom...,94801,224 MacDonald Avenue,Richmond,38899096,BAY AREA RESCUE MISSION,2376,37.940718,-122.353341,ACTIVE,"<span style=""color:#FF0000"">Note: Currently not ac...",510-215-4860,www.bayarearescue.org,en,California,,"37.940718, -122.353341",,,,,,Program,5550,5320,2020-06-29 01:23:00,
38906767en,38906767,Short-term Emergency Shelter- Homeless Single Men,94801,200 Macdonald Avenue,Richmond,38899096,BAY AREA RESCUE MISSION,2376,,,ACTIVE,"<span style=""color:#FF0000"">NOTE:&nbsp; Bay Area R...",510-215-4868,www.bayarearescue.org,en,California,,"37.940718, -122.353341",,,,,,Program,5550,5320,2020-06-29 01:23:00,
59799353en,59799353,Union City Safe Overnight Parking Program,,,,38898814,UNION CITY - COMMUNITY AND RECREATION SERVICES (UC...,2376,,,ACTIVE,"<strong><span style=""color:#FF0000"">NOTE: Staff me...",510-675-5482,https://cityservetrivalley.org/wp-content/uploads/...,en,,,"37.60712, -122.0271",,,,,,Program,5550,5320,2020-06-29 01:23:00,
38904802en,38904802,Veteran Shelter and Housing,,,,38898870,OPERATION DIGNITY INC,2376,37.806984,-122.286229,ACTIVE,"<span style=""color:#FF0000"">Note: Outreach teams a...",510-287-8465,www.operationdignity.org,en,,,"37.806984, -122.286229",,,,,,Program,5550,5320,2020-06-29 01:23:00,
38907023en,38907023,Winter Shelter,,,,38898872,SOUTH HAYWARD PARRISH,2376,,,ACTIVE,"<br /><span style=""font-size:14px""><span style=""co>""...",510-785-3663,southhaywardparish.org,en,,,"37.63378, -122.07981",,,,,,Program,5550,5320,2020-06-29 01:23:00,
38905093en,38905093,14-Month Long-Term Program,,,,38898771,SHEPHERD'S GATE,2376,37.6931907,-121.7790515,ACTIVE,"<span style=""color:#FF0000"">Notes: Office is close...",925-487-4147,,en,,,"37.729225, -121.691025","37.6931907, -121.7790515",,,,,Program,5551,5320,2020-06-29 01:23:00,
38905944en,38905944,7 to 21 Days Urgent Shelter for Single Mother with...,,Phone Only,Oakland,38899238,BUILDING A SOLID FOUNDATION,2376,37.8043637,-122.2711137,ACTIVE,"<span style=""color:#FF0000"">Note: Not accepting ne...",,www.buildingasolidfoundation.org,en,California,,"37.72792, -122.202965","37.8043637, -122.2711137",,,,,Program,5551,5320,2020-06-29 01:23:00,
38904909en,38904909,BOSS Behavioral Health Care Transitional Housing -...,,,,38898915,BUILDING OPPORTUNITIES FOR SELF-SUFFICIENCY (BOSS),2376,,,ACTIVE,"<span style=""color:#FF0000"">Note: Continues to pro...",510-899-4200,www.self-sufficiency.org/index.php/housing,en,,,,,,,,,Program,5551,5320,2020-06-29 01:23:00,
38904092en,38904092,Clean and Sober Living Homes,94104,PO Box 297,San Francisco,38898983,TLC RESIDENTIAL INC,2376,37.791257,-122.400811,ACTIVE,"<span style=""color:#FF0000"">Note: No changes have ...",415-347-9686,www.tlcresidential.com,en,California,,"37.791257, -122.400811",,,,,,Program,5551,5320,2020-06-29 01:23:00,
38906556en,38906556,Clean and Sober Transitional Housing,94607,2224 Linden Street,Oakland,38899601,OUR HOUSE SERVICES INC,2376,37.806984,-122.286229,ACTIVE,"<span style=""color:#FF0000"">Note: Program is full ...",510-808-5737,www.ourhouseservices.org,en,California,,"37.806984, -122.286229",,,,,,Program,5551,5320,2020-06-29 01:23:00,
38904877en,38904877,Covenant House California / Oakland Shelter,,,,38899074,COVENANT HOUSE CALIFORNIA (CHC),2376,37.80483,-122.27248,ACTIVE,"Covenant House California, Oakland Program, is ded...",No phone access,www.covenanthousecalifornia.org,en,,,"37.8018, -122.26518","37.80483, -122.27248",,,,,Program,5551,5320,2020-06-29 01:23:00,
38903464en,38903464,Downtown Berkeley Transitional Hotel and Residence,,,,38899258,YMCA OF THE EAST BAY,2376,37.867417,-122.259661,ACTIVE,Provides temporary housing for adults age 18 or ov...,510-848-6800,www.ymca-cba.org/locations/downtown-berkeley-hotel,en,,,"37.867417, -122.259661",,,,,,Program,5551,5320,2020-06-29 01:23:00,
39981848en,39981848,FOUNDATION FOR A BETTER LIFE,,,,,,2376,,,ACTIVE,"Foundation for a Better Life center, is a transiti...",510-686-0858,,en,,,"37.73822, -122.1909",,,,,,Agency,5551,5320,2020-06-29 01:23:00,
38903421en,38903421,General Assistance (GA),,,,38899191,ALAMEDA COUNTY SOCIAL SERVICES AGENCY WORKFORCE AN...,2376,37.526811,-121.964908,ACTIVE,"<span style=""color:#FF0000""><span style=""font-family:arial,helvetica,sans-serif""><span style=""font-size:14px"">NOTE: </span></span>The Agency continues...",888-999-4772,www.alamedasocialservices.org,en,,,"37.633771, -122.061914","37.81018, -122.269073","37.762734, -122.157057","37.526811, -121.964908","37.681214, -121.751912",,Program,5551,5320,2020-06-29 01:23:00,
51793857en,51793857,Homeless Supportive Services,,,,38898802,ABODE SERVICES,2376,,,ACTIVE,Provides temporary shelter for homeless individual...,510-657-7409,www.abodeservices.org,en,,,"37.526811, -121.964908",,,,,,Program,5551,5320,2020-06-29 01:23:00,
38906731en,38906731,Housing for Adult Male,,,,38899606,CHANGE TO COME,2376,,,ACTIVE,"<span style=""color:#FF0000"">Note: Not currently ac...",510-775-9046,www.changetocome.org,en,,,"37.83444, -122.28906",,,,,,Program,5551,5320,2020-06-29 01:23:00,
38906574en,38906574,Housing for Single Female and Single Female Parent...,,,,38899606,CHANGE TO COME,2376,37.835713,-122.263515,ACTIVE,"<table> <tbody> <tr> <td><span style=""color:#FF>""...",510-969-8266,www.changetocome.org,en,,,"37.835713, -122.263515",,,,,,Program,5551,5320,2020-06-29 01:23:00,
38906652en,38906652,Jordan House 1 - Men,94605,,,38899621,JORDAN'S HOUSE,2376,37.762734,-122.157057,ACTIVE,The Jordan House is a transitional home that provi...,510-368-0219,,en,,,"37.75103, -122.15918","37.762734, -122.157057",,,,,Program,5551,5320,2020-06-29 01:23:00,
38906653en,38906653,Jordan House 2 - Women,,,,38899621,JORDAN'S HOUSE,2376,37.762734,-122.157057,ACTIVE,A spiritual based program designed for single wome...,510-332-3628,,en,,,"37.75103, -122.15918","37.762734, -122.157057",,,,,Program,5551,5320,2020-06-29 01:23:00,
38904886en,38904886,Life Transformation Program - Center for Single Ho...,94801,200 Macdonald Avenue,Richmond,38899096,BAY AREA RESCUE MISSION,2376,,,ACTIVE,"<span style=""color:#FF0000"">Note: Social distancin...",510-215-4868,www.bayarearescue.org,en,California,,"37.940718, -122.353341",,,,,,Program,5551,5320,2020-06-29 01:23:00,
38906766en,38906766,Life Transformation Program - Single Women and Mot...,94801,224 MacDonald Avenue,Richmond,38899096,BAY AREA RESCUE MISSION,2376,37.940718,-122.353341,ACTIVE,"<span style=""color:#FF0000"">Note: Currently not ac...",510-215-4860,www.bayarearescue.org,en,California,,"37.940718, -122.353341",,,,,,Program,5551,5320,2020-06-29 01:23:00,
38906205en,38906205,Making Changes Transitional House For Women - Camd...,94605,6031 Camden Street,Oakland,38899509,PARTNERSHIP FOR AFFORDABLE HOUSING,2376,37.762734,-122.157057,ACTIVE,Offers a clean and sober living environment for wo...,510-567-3586,https://www.pahcanhelp.org/,en,California,,"37.762734, -122.157057",,,,,,Program,5551,5320,2020-06-29 01:23:00,
38905796en,38905796,Phatt Chance East,,,,38899376,PHATT CHANCE COMMUNITY SERVICES,2376,,,ACTIVE,"<span style=""color:#FF0000"">Note: Office is not op...",510-878-2360,,en,California,,"37.738816, -122.172403",,,,,,Program,5551,5320,2020-06-29 01:23:00,
38904327en,38904327,Project Independence (PI),,,,38898802,ABODE SERVICES,2376,37.674815,-122.081533,ACTIVE,Offers a transitional supportive housing program t...,"510-657-7409, EXT 758",www.abodeservices.org/about/need_assistance,en,,,"37.674815, -122.081533",,,,,,Program,5551,5320,2020-06-29 01:23:00,
38904418en,38904418,RA Transitional Housing Program,,,,38898476,SIDE BY SIDE,2376,37.674815,-122.081533,ACTIVE,"<span style=""color:#FF0000"">Note:&nbsp;Side by Sid...",510-727-9401,www.sidebysideyouth.org,en,,,"37.674815, -122.081533",,,,,,Program,5551,5320,2020-06-29 01:23:00,
38906945en,38906945,Rising Oaks,,,,38898616,FRED FINCH YOUTH CENTER,2376,,,ACTIVE,"<span style=""color:#FF0000"">Note: &nbsp;Moving man...",510-482-2244,www.fredfinch.org,en,,,"37.7992, -122.20802",,,,,,Program,5551,5320,2020-06-29 01:23:00,
65142962en,65142962,Roads Home - Supportive Services for Veterans Fami...,,,,38898916,BERKELEY FOOD AND HOUSING PROJECT (BFHP),2376,,,ACTIVE,Provides supportive services to veteran households...,510-500-3814,https://bfhp.org/services/homeless-veteran-service...,en,,,"37.79889, -122.17212",,,,,,Program,5551,5320,2020-06-29 01:23:00,
38906681en,38906681,Sober Living for Women and Men,,,,38899627,TRANQUILITY HOUSE ALTERNATIVES,2376,,,ACTIVE,A C.A.A.R.R certified women's and men's sober livi...,510-575-8071,,en,California,,,,,,,,Program,5551,5320,2020-06-29 01:23:00,
38906895en,38906895,Sober Living Transitional Home For Women,,,,38899696,A DIAMOND IN THE RUFF SOBER LIVING TRANSITIONAL HO...,2376,37.72792,-122.202965,ACTIVE,"<span style=""color:#FF0000"">Note: No changes to se...",888-292-4308,www.adiamondintheruff.info,en,,,"37.72792, -122.202965",,,,,,Program,5551,5320,2020-06-29 01:23:00,
38905491en,38905491,Swords to Plowshares,,,,38899276,,2376,,,ACTIVE,"<span style=""color:#FF0000"">Note: Hours of operati...",415-252-4788,www.swords-to-plowshares.org,en,,,"37.773969, -122.410448","37.81653, -122.26815",,,,,Program,5551,5320,2020-06-29 01:23:00,
38903975en,38903975,Transitional Housing,,,,38898889,ALPHA OMEGA FOUNDATION,2376,37.755967,-122.188088,ACTIVE,"<span style=""color:#FF0000"">Note: Office is still ...",510-632-0780,www.alphaomegafoundation.com,en,,,"37.755967, -122.188088",,,,,,Program,5551,5320,2020-06-29 01:23:00,
38906630en,38906630,Transitional Housing,94621,,,38899616,"HAMPTONS TRANSITIONAL HOUSING AND RESOURCES, LLC",2376,37.755967,-122.188088,ACTIVE,A clean and sober living environment created in or...,650-771-5781,www.hamptonstransitionalhousingandresourcesllc.com,en,,,"37.755967, -122.188088",,,,,,Program,5551,5320,2020-06-29 01:23:00,
38906906en,38906906,Transitional Housing,,,,38899704,DESTINY BUILDERS - RENOVATING WITHIN,2376,,,ACTIVE,"<span style=""color:#FF0000"">Note: No changes have ...",510-472-1183,www.destinybuilderz.org,en,,,,,,,,,Program,5551,5320,2020-06-29 01:23:00,
40395917en,40395917,Transitional Housing,,,,39981848,FOUNDATION FOR A BETTER LIFE,2376,,,ACTIVE,"Foundation for a Better Life center, is transition...",510-686-0858,,en,,,"37.73822, -122.1909",,,,,,Program,5551,5320,2020-06-29 01:23:00,
38903905en,38903905,Transitional Housing and Self-Sufficiency Programs,,,,38898848,IMAGES ON THE RISE,2376,,,ACTIVE,"<span style=""color:#FF0000"">Note: Office is open a...",510-224-4647,www.imagesontherisefeed.org/,en,California,FEED Program,"37.633771, -122.061914",,,,,,Program,5551,5320,2020-06-29 01:23:00,
38907054en,38907054,Transitional Housing Services,94605,2707 Seminary Avenue,Oakland,38899766,ATL TRANSITIONAL HOUSING,2376,37.762734,-122.157057,ACTIVE,Helps clients become self sufficient and to achiev...,510-459-5306,,en,California,,"37.762734, -122.157057",,,,,,Program,5551,5320,2020-06-29 01:23:00,
38904802en,38904802,Veteran Shelter and Housing,,,,38898870,OPERATION DIGNITY INC,2376,37.806984,-122.286229,ACTIVE,"<span style=""color:#FF0000"">Note: Outreach teams a...",510-287-8465,www.operationdignity.org,en,,,"37.806984, -122.286229",,,,,,Program,5551,5320,2020-06-29 01:23:00,
38904028en,38904028,Women's Transitional Program,,,,38898937,OAKLAND ELIZABETH HOUSE,2376,37.824444,-122.230556,ACTIVE,"<span style=""color:#FF0000"">Note: Office not open ...",510-658-1380,www.oakehouse.org,en,,,"37.824444, -122.230556",,,,,,Program,5551,5320,2020-06-29 01:23:00,
64939674en,64939674,Womens Turning Point,,,Oakland,38898840,CITYTEAM MINISTRIES,2376,,,ACTIVE,"<span style=""color:#FF0000"">Note: Now providing to...",510-766-2420,www.cityteam.org,en,California,Bridge Housing Program,,,,,,,Program,5551,5320,2020-06-29 01:23:00,
38907119en,38907119,Working Women Program-6 Months,,,,38898771,SHEPHERD'S GATE,2376,37.729225,-121.691025,ACTIVE,"<span style=""color:#FF0000"">Notes: Office is close...",925-443-4283,,en,,,"37.729225, -121.691025",,,,,,Program,5551,5320,2020-06-29 01:23:00,
38906914en,38906914,Community Mental Health and Outreach Services,,,,38898602,RUBYS PLACE INC,2376,37.674815,-122.081533,ACTIVE,"<span style=""color:#FF0000"">Note: Program is curre...",510-786-1246,www.rubysplace.org,en,,,"37.674815, -122.081533",,,,,,Program,5552,5320,2020-06-29 01:23:00,
38904983en,38904983,Food and Clothing,,,,38898828,VIOLA BLYTHE COMMUNITY SERVICE CENTER OF NEWARK,2376,,,ACTIVE,"<span style=""color:#FF0000"">NOTE: Viola Blythe currently operates a food distribution program that provides up to two weeks of canned and dry foods as...",510-794-3437,www.violablythe.org,en,,,"37.538034, -122.03053",,,,,,Program,5552,5320,2020-06-29 01:23:00,
38907316en,38907316,Free Haircuts,,,,38899834,SUPERCUTS TRAINING STUDIO,2376,,,ACTIVE,"<span style=""color:#FF0000"">NOTE: Currently we are...",510-357-5246,,en,,,"37.7014, -122.12867",,,,,,Program,5552,5320,2020-06-29 01:23:00,
66084518en,66084518,Lava Mae East Bay Mobile Showers,,,,66084515,LAVA MAE,2376,,,ACTIVE,"<span style=""color:#FF0000"">NOTE: Due to risk of spreading COVID 19 we have suspended our mobile shower programs in San Francisco, Oakland and Los Ang...",415-872-6950,https://lavamae.org/east-bay/,en,,,"37.80638, -122.26905",,,,,,Program,5552,5320,2020-06-29 01:23:00,
38905524en,38905524,Suitcase Clinic - General,94704,2407 Dana Street,Berkeley,38899199,UNIVERSITY OF CALIFORNIA BERKELEY,2376,37.867417,-122.259661,ACTIVE,"<table> <tbody> <tr> <td><span style=""color:#FF0000"">Note: Currently offering program called Access technology resources for UC Berkeley students&n...",510-269-7242,www.suitcaseclinic.org,en,California,,"37.867417, -122.259661","37.86607, -122.26058",,,,,Program,5552,5320,2020-06-29 01:23:00,
38905525en,38905525,Suitcase Clinic - Women,,,,38899199,UNIVERSITY OF CALIFORNIA BERKELEY,2376,37.867417,-122.259661,ACTIVE,"<table> <tbody> <tr> <td><span style=""color:#FF0000"">Note: Currently offering program called Access technology resources for UC Berkeley students&n...",510-423-3659,www.suitcaseclinic.org,en,,,"37.86241, -122.26319","37.867417, -122.259661",,,,,Program,5552,5320,2020-06-29 01:23:00,
38905527en,38905527,Suitcase Clinic - Youth & LGBTQ,,,,38899199,UNIVERSITY OF CALIFORNIA BERKELEY,2376,37.867417,-122.259661,ACTIVE,"<table> <tbody> <tr> <td><span style=""color:#FF0000"">Note: Currently offering program called Access technology resources for UC Berkeley students&n...",510-423-3303,www.suitcaseclinic.org,en,,,"37.86795, -122.2632","37.867417, -122.259661",,,,,Program,5552,5320,2020-06-29 01:23:00,
38903830en,38903830,Telegraph Community Ministry Center,,,,38898792,TELEGRAPH COMMUNITY CENTER,2376,,,ACTIVE,"<span style=""font-family:arial,helvetica,sans-seri>""...",510-961-4385,www.telegraphcenter.com/,en,,,"37.835713, -122.263515",,,,,,Program,5552,5320,2020-06-29 01:23:00,
56809622en,56809622,A Friendly Manor Drop-in Center,,,,38898905,ST. MARY'S CENTER,2376,,,ACTIVE,"<span style=""color:#FF0000"">Notes: The Preschool i...",510-451-8923,,en,,,"37.83444, -122.28906",,,,,,Program,5553,5320,2020-06-29 01:23:00,
38904873en,38904873,Champion Guidance Center (Men's Center) - Drop-in ...,,,,38898786,SOCIETY OF ST. VINCENT DE PAUL OF ALAMEDA COUNTY,2376,37.81018,-122.269073,ACTIVE,"<span style=""color:#FF0000"">Note: Closed until fur...",510-638-7600,www.svdp-alameda.org,en,,,"37.81018, -122.269073",,,,,,Program,5553,5320,2020-06-29 01:23:00,
49976044en,49976044,Church Food Pantry,,,,49976038,ASBURY UNITED METHODIST CHURCH,2376,,,ACTIVE,Offers a place to feed the hungry and homeless on ...,925-447-1950,www.asburylive.org,en,,,"37.67775, -121.73696",,,,,,Program,5553,5320,2020-06-29 01:23:00,
